,詞頻
 ,8521
公司,400
年,367
2019,321
管理,272
安全,165
議題,128
社會,123
員工,118
企業,117
產品,105
台塑,104
環境,103
廠區,103
責任,102
102,99
重大,97
報告,93
環保,87
推動,85
性,85
風險,82
工業,82
報告書,79
台灣,79
營運,75
改善,74
技術,73
永續,71
發展,71
目標,70
衛生,70
塑膠,67
2016,66
污染,65
級,64
排放,63
年度,62
經濟,62
單位,61
寮,61
績效,61
月,59
氣體,59
進行,59
安全衛生,59
麥,58
主管,57
溫室,56
供應,55
103,55
人員,54
有限,53
處理,52
關係,52
有限公司,52
廠,52
塑造,52
AI,49
持續,49
資源,49
政策,49
減量,49
研發,48
塑膠工業,48
製程,47
健康,47
官網,47
創新,47
股份,47
水量,47
方針,46
使用,46
CSR,45
客戶,45
2018,44
相關,44
資訊,44
能源,44
傷害,44
職業,44
董事,43
空氣,43
提升,41
註,41
承攬,39
利害,39
評估,39
仁武,39
已,38
治理,38
關係人,38
社區,38
工作,38
投資,38
噸,38
採購,37
產業,37
水資源,37
網站,37
年版,37
經營,37
用水,36
比例,36
應變,36
系統,36
訓練,35
參閱,35
供應商,35
10,35
回收,35
服務,34
政府,34
職場,34
請參閱,34
利用,34
再,34
率,34
人數,34
項目,34
活動,33
100%,33
3.2,33
資料,33
參與,33
人,33
平均,33
生產,32
法令,32
設備,32
乙烯,32
廢水,32
衝擊,32
主要,31
商,31
鑑別,31
2020,31
完成,31
對照,30
指標,30
廢棄,30
棄物,30
全球,30
合計,30
總,29
標準,29
2.2,29
廢棄物,29
要求,29
人才,29
林園,28
事業,28
階段,28
以上,28
經理,28
當地,28
發生,28
溝通,27
福利,27
開發,27
投入,27
日,27
組織,26
提供,26
後,26
水,26
作業,26
節能,26
總經理,26
符合,26
5.1,26
降低,25
項,25
403,25
保護,25
2.3,25
統計,25
廠商,25
參考,24
章節,24
揭露,24
緊急,24
主題,24
遵循,24
價值,24
失能,23
萬元,23
合作,23
石化,23
GRI,23
12,23
丙烯,23
各項,23
品質,22
占,22
程度,22
中,22
事件,22
對應,22
查證,22
製造,22
回應,22
雨水,22
類別,22
執行,21
董事長,21
面向,21
化學,21
強化,21
概況,21
處,21
萬噸,21
30,21
用水量,21
危害,21
億元,21
說明,21
3.3,21
財務,21
定期,20
權益,20
居民,20
範疇,20
15,20
4.2,20
國際,20
100,20
11,20
每年,20
高,20
監測,19
部門,19
機制,19
針對,19
薪資,19
時,19
未來,19
來源,19
報導,19
污染物,19
第三,19
措施,19
機構,19
法規,19
價值鏈,19
承諾,19
物質,18
透過,18
方式,18
應用,18
綠色,18
金額,18
1.2,18
發電,18
2017,18
事故,18
影響,18
專案,18
規定,18
高雄市,17
確保,17
空氣污染,17
因應,17
團體,17
工程,17
設置,17
地下,17
嚴重,17
消防,17
教育,17
室,17
異常,17
能力,17
纖維,17
分析,17
減少,17
6.1,17
能源管理,17
培訓,17
供應鏈,17
5.2,17
計畫,16
事業部,16
管制,16
環境保護,16
節水,16
準則,16
加強,16
協助,16
銷售,16
