,詞頻
 ,1112
季度,71
遊戲,55
數據,50
一個,48
增長,43
中心,43
數據中心,42
中,36
問題,36
需求,30
庫存,29
美元,27
銷售,27
供應,27
正在,24
NVIDIA,24
下,24
計算,24
模型,23
收入,23
Hopper,23
企業,23
預計,22
億美元,22
市場,22
GPU,21
下降,21
一些,20
產品,20
Jensen,20
新,20
系統,19
使用,19
規模,19
是否,19
一代,18
月,18
想,18
認為,17
第二,17
包括,16
費用,16
Colette,16
網絡,15
做,15
GAAP,15
部分,15
影響,15
Operator,15
確實,15
汽車,15
大規模,15
現在,15
會議,15
計算機,15
算機,15
行業,15
大規,15
二季,14
第二季,14
這種,14
第三,14
已經,14
業務,14
AI,14
二季度,14
第二季度,14
客戶,14
GeForce,14
超大,14
提供,14
毛利率,14
利率,14
毛利,14
超大規模,14
重要,14
挑戰,13
CFO,13
本季,13
本季度,13
語言,13
ProViz,13
第三季度,13
三季度,13
第三季,13
進行,13
電話,13
三季,13
能夠,12
人工智能,12
進入,12
所有,12
VP,12
Kress,12
Executive,12
世界,12
下一代,12
智能,12
人工,12
組件,11
宏觀,11
Director,11
將來,11
真的,11
工作,11
用於,11
M,11
渠道,11
非,11
方面,11
看到,11
電話會議,10
雲,10
Omniverse,10
同比,10
Huang,10
設計,10
圖形,10
電話會,10
討論,10
計劃,10
準備,10
第一,10
中國,10
需要,10
合作,10
未來,10
這是,10
預期,10
時間,9
環比,9
減少,9
謝謝,9
大型,9
低於,9
長期,9
President,9
Founder,9
基礎,9
平台,9
放緩,9
領域,9
今天,9
Co,9
機會,9
CPU,9
年,9
好,9
擁有,9
CEO,9
使,8
連接,8
繼續,8
情況,8
經濟,8
技術,8
財務,8
自動,8
推動,8
駕駛,8
支持,8
強勁,8
幾個,8
公司,8
持續,8
期望,8
內容,8
來說,8
10,8
Analyst,8
考慮,8
人,8
水平,7
相當,7
超級,7
發展,7
超級計算機,7
夥伴,7
當前,7
受到,7
一季度,7
發生,7
執行,7
服務,7
財年,7
宏觀經濟,7
最後,7
一季,7
雲中,7
創建,7
一起,7
目前,7
投資,7
前,7
請,7
供應鏈,7
運營,7
最,7
MD,7
希望,7
過去,7
大量,7
一下,6
存在,6
有點,6
實際,6
約,6
Senior,6
加密,6
記住,6
CSP,6
推出,6
評論,6
指標,6
環境,6
將在,6
那裡,6
澄清,6
互聯,6
聯網,6
互聯網,6
主要,6
學習,6
出現,6
超過,6
提高,6
一直,6
軟件,6
抵消,6
每個,6
相關,6
指導,5
完成,5
銷售量,5
遊戲機,5
變形,5
糾正,5
變形金剛,5
歡迎,5
看看,5
Research,5
應用,5
好奇,5
數字,5
技能,5
理解,5
具有,5
幫助,5
2023,5
金剛,5
建立,5
連續,5
更新,5
支出,5
狀況,5
加速,5
組合,5
科,5
原因,5
萊特,5
訓練,5
幾年,5
疲軟,5
相信,5
日,5
實際上,5
之前,5
動態,5
角度,5
芯片,5
專業,5
許多,5
業績,5
往往,5
架構,5
垂直,5
貨幣,5
關鍵,5
高,5
工作站,4
翻了一番,4
西門子,4
一番,4
生態,4
交付,4
生態系,4
兩個,4
減記,4
門子,4
西門,4
3D,4
所說,4
宣布,4
